nombre;apellido/s;correo;teléfono
;García Fernández;laura.garcia@ejemplo.com;612345678
Carlos;Martínez López;carlos.martinez@dominio.es;623456789
Ana;Rodríguez Díaz;ana.rodriguez@mail.com;634567890
Javier;Hernández Gil;javier.hernandez@correo.es;645678901
Marta;Sánchez Ruiz;marta.sanchez@example.com;656789012
David;López Moreno;david.lopez@dominio.com;667890123
Elena;Pérez Castro;elena.perez@mail.es;678901234
Sergio;Gómez Navarro;sergio.gomez@ejemplo.es;689012345
Isabel;Díaz Martín;isabel.diaz@correo.com;690123456
Pedro;Fernández Ortega;pedro.fernandez@dominio.es;601234567
Luis;Fernández Ortega;pedro.fernandez@dominio.es;601234543
Polo;Fernández Ortega;wiwiwi@gmail.es;601234567
dfsddsf;sdfsdfsdfds;dfsfsdf@gmi.com;953226466
